#ra (deg)
#___ right ascension (J2000 decimal deg)
#dec (deg)
#___ declination (J2000 decimal deg)
#err_maj (arcsec)
#___ major axis of 1-sigma error ellipse
#err_min (arcsec)
#___ minor axis of 1-sigma error ellipse
#err_ang (deg)
#___ angle of error ellipse major axis (E of N)
#designation
#___ source designation formed from sexigesimal coordinates
#j_m (mag)
#___ J band selected "default" magnitude
#j_cmsig (mag)
#___ corrected J band photometric uncertainty
#j_msigcom (mag)
#___ combined (total) J band photometric uncertainty
#j_snr
#___ J band "scan" signal-to-noise ratio
#h_m (mag)
#___ H band selected "default" magnitude
#h_cmsig (mag)
#___ corrected H band photometric uncertainty
#h_msigcom (mag)
#___ combined (total) H band photometric uncertainty
#h_snr
#___ H band "scan" signal-to-noise ratio
#k_m (mag)
#___ K band selected "default" magnitude
#k_cmsig (mag)
#___ corrected K band photometric uncertainty
#k_msigcom (mag)
#___ combined (total) K band photometric uncertainty
#k_snr
#___ K band "scan" signal-to-noise ratio
#ph_qual
#___ flag indicating photometric quality of source
#rd_flg
#___ source of JHK "default" mags (AKA "read flag")
#bl_flg
#___ indicates # JHK components fit simultaneously to source
#cc_flg
#___ indicates JHK artifact contamination and/or confusion
#ndet
#___ number of >3-sig. ap. mag measurements, # possible (jjhhkk)
#gal_contam
#___ flag indicating if src is contaminated by extended source
#mp_flg
#___ src is positionally associated with an asteroid, comet, etc
#j_h ->  Reference:    Input column(s): j_m, h_m, k_m, rd_flg
#h_k ->  Reference:    Input column(s): j_m, h_m, k_m, rd_flg
#j_k ->  Reference:    Input column(s): j_m, h_m, k_m, rd_flg
ra,dec,j_m,h_m,k_m
274.43785,-13.906045,14.844,12.81,11.962
274.423952,-13.867824,16.139,14.089,13.33
274.438914,-13.891818,17.553,14.92,14.196
274.428008,-13.863875,15.749,14.79,14.515
274.429083,-13.782828,10.418,10.335,10.285
274.425648,-13.833768,15.937,14.86,13.885
274.427786,-13.735278,15.801,13.649,12.75
274.417064,-13.789597,15.261,12.893,11.82
274.419802,-13.814913,16.431,14.229,12.849
274.432839,-13.82318,14.213,13.016,12.257
274.436571,-13.858459,17.329,15.316,14.414
274.425382,-13.854182,16.325,14.17,13.303
274.423951,-13.754429,11.304,10.658,10.482
274.433489,-13.832794,16.879,14.701,13.941
274.427059,-13.807001,16.87,15.051,13.894
274.428671,-13.742498,17.33,15.235,14.37
274.639484,-14.063949,15.009,13.088,12.263
274.673333,-14.0821,15.74,13.887,13.255
274.654852,-14.04197,15.644,14.058,13.19
274.685224,-14.063239,16.063,13.913,13.051
274.724783,-14.037528,13.956,13.048,12.585
274.642639,-14.025882,16.07,15.101,14.669
274.870783,-13.982869,18.341,14.505,13.282
274.871646,-13.917963,16.219,14.299,13.336
274.868186,-14.024563,15.308,12.935,11.841
274.713304,-14.04773,14.505,12.948,12.255
274.71664,-14.045086,16.91,14.756,14.058
274.703003,-14.032424,15.415,13.725,12.948
274.743386,-13.945471,13.64,13.391,13.242
274.858871,-13.94305,16.143,14.532,13.792
274.766825,-14.066378,14.462,14.468,13.537
274.749374,-13.967481,18.022,14.709,13.15
274.919319,-13.856659,15.78,13.18,11.696
274.733073,-13.935458,15.029,14.243,12.713
274.866822,-13.819808,17.91,15.244,13.861
274.745985,-14.032846,13.084,12.855,12.614
274.775743,-14.036665,15.693,13.701,12.829
274.727968,-14.058697,14.499,13.862,13.722
274.869083,-13.942269,15.931,13.874,12.797
274.934442,-13.781283,17.311,14.13,13.686
274.913466,-13.962735,16.625,14.842,13.627
274.90195,-13.917401,14.365,12.395,11.535
274.774088,-14.013679,13.53,12.636,12.012
274.899947,-13.905435,15.514,14.558,13.612
274.881449,-13.903599,16.131,14.151,13.222
274.907317,-13.834259,13.623,13.173,12.857
274.870428,-13.844563,17.36,14.949,13.799
274.935527,-13.749713,17.726,14.898,13.747
274.852728,-13.828325,17.794,14.196,12.583
274.918726,-13.906879,14.931,14.166,13.889
274.700945,-13.968757,15.379,13.548,12.728
274.847027,-13.883492,16.257,14.768,14.154
274.926888,-13.954641,14.697,12.334,11.27
274.907458,-13.863953,16.361,15.888,15.554
274.879833,-13.990532,16.03,15.005,14.656
274.959289,-13.871359,17.13,15.576,14.621
274.943379,-13.860335,16.765,15.041,13.891
274.973808,-13.769151,17.138,14.357,12.954
274.678696,-14.053902,16.269,14.632,13.881
274.783087,-13.996788,15.481,13.229,12.222
274.880234,-13.944013,16.126,14.539,13.648
274.790396,-13.884496,14.493,14.07,14.083
274.898414,-13.956293,15.225,14.201,13.878
274.798285,-14.053105,15.706,14.207,13.455
274.76586,-14.056506,16.175,13.794,12.733
274.892421,-13.868433,14.457,12.238,11.19
274.921276,-13.917639,16.6,14.133,12.978
274.974219,-13.867296,18.067,15.525,13.997
274.648755,-14.054704,15.129,12.998,12.19
274.424269,-13.746224,15.13,13.395,12.425
274.42912,-13.821806,16.252,15.358,16.01
274.438158,-13.87685,16.21,14.419,13.698
274.432045,-13.836661,14.623,12.617,11.755
274.429344,-13.792528,15.503,14.655,13.626
274.423726,-13.76009,16.965,14.54,13.523
274.419512,-13.847669,11.898,13.598,12.805
274.435406,-13.889971,12.696,10.695,9.844
274.417292,-13.809028,15.929,13.442,12.326
274.419345,-13.794291,16.063,14.278,13.144
274.417812,-13.794453,15.005,13.88,13.215
274.433143,-13.767949,17.933,14.535,13.41
274.433125,-13.823019,14.492,12.788,12.172
274.432457,-13.83528,15.676,13.575,12.7
274.418244,-13.83355,14.45,13.185,12.543
274.422977,-13.794615,16.575,14.694,14.085
274.435921,-13.908179,15.929,14.107,13.333
274.423288,-13.779163,12.883,12.538,12.464
274.429972,-13.810061,16.207,15.171,14.392
274.431866,-13.849438,16.485,14.689,13.813
